year,age,men,women,sum
2008,38,293124,307906,601030
2008,39,297518,313867,611385
2008,40,291936,311804,603740
2008,41,299775,323255,623030
2008,42,295551,322493,618044
2008,43,307791,338810,646601
2008,44,326641,363933,690574
2008,45,333617,375043,708660
2008,46,345185,388976,734161
2008,47,356070,404396,760466
2008,48,337389,390025,727414
2008,49,333317,388350,721667
2008,50,317325,375178,692503
2008,51,312950,375731,688681
2008,52,290304,353271,643575
2008,53,296220,365634,661854
2008,54,268410,336376,604786
2008,55,278847,352868,631715
2008,56,276668,351064,627732
2008,57,270678,349062,619740
2008,58,276988,365390,642378
2008,59,228713,304709,533422
2008,60,199967,273349,473316
2008,61,187878,266310,454188
2008,62,119641,177100,296741
2008,63,137220,206975,344195
2008,64,121227,186413,307640
2008,65,154184,242026,396210
2008,66,200208,316504,516712
2008,67,201726,325441,527167
2008,68,210942,354691,565633
2008,69,215475,368695,584170
2008,70,220081,374279,594360
2008,71,173528,298133,471661
2008,72,141138,243880,385018
2008,73,101995,179778,281773
2008,74,82329,152942,235271
2008,75,98372,196131,294503
2008,76,99498,196463,295961
2008,77,112306,235830,348136
2008,78,91398,205309,296707
2008,79,88373,209026,297399
2009,0,261138,245204,506342
2009,1,240239,227251,467490
2009,2,233320,222023,455343
2009,3,216723,204291,421014
2009,4,217048,205238,422286
2009,5,207060,196298,403358
2009,6,198498,186482,384980
2009,7,190483,179616,370099
2009,8,195951,185102,381053
2009,9,197910,187829,385739
2009,10,209246,200512,409758
2009,11,219022,208561,427583
2009,12,236647,225326,461973
2009,13,245907,234075,479982
2009,14,255970,243218,499188
2009,15,270771,258063,528834
2009,16,291869,277922,569791
2009,17,313484,297980,611464
2009,18,329868,313700,643568
2009,19,345414,329343,674757
2009,20,367696,351174,718870
2009,21,380421,363306,743727
2009,22,402748,386261,789009
2009,23,390167,376002,766169
2009,24,399171,384548,783719
2009,25,406087,390658,796745
2009,26,371541,355315,726856
2009,27,356152,348083,704235
2009,28,362965,355992,718957
2009,29,342512,337282,679794
2009,30,338302,337118,675420
2009,31,325941,328136,654077
2009,32,342498,345266,687764
2009,33,333578,340636,674214
2009,34,324286,332859,657145
2009,35,315007,324760,639767
2009,36,323346,336640,659986
2009,37,320724,332936,653660
2009,38,317153,330585,647738
2009,39,290627,307045,597672
2009,40,294604,312946,607550
2009,41,289015,310894,599909
2009,42,296643,322177,618820
2009,43,292093,321400,613493
2009,44,304116,337616,641732
2009,45,322371,362581,684952
2009,46,329125,373547,702672
2009,47,340224,387342,727566
2009,48,350740,402611,753351
2009,49,332035,388134,720169
2009,50,327168,386283,713451
2009,51,311300,373106,684406
2009,52,306670,373482,680152
2009,53,284117,351171,635288
2009,54,289551,363198,652749
2009,55,261999,333894,595893
2009,56,271971,349936,621907
2009,57,269374,347896,617270
2009,58,263244,345825,609069
2009,59,268949,361528,630477
2009,60,221494,301340,522834
2009,61,193067,270040,463107
2009,62,181158,262922,444080
2009,63,115098,174553,289651
2009,64,131549,203760,335309
2009,65,115970,183235,299205
2009,66,147123,237608,384731
2009,67,191006,310484,501490
2009,68,191873,318547,510420
2009,69,199673,346068,545741
2009,70,203162,358742,561904
2009,71,206413,362929,569342
2009,72,162323,288143,450466
2009,73,131170,234640,365810
2009,74,94503,172021,266524
2009,75,75706,145828,221534
2009,76,90008,186308,276316
2009,77,90484,185271,275755
2009,78,101542,221483,323025
2009,79,81584,190449,272033
2010,0,262597,245947,508544
2010,1,260723,244938,505661
2010,2,240097,227149,467246
2010,3,233259,221974,455233
2010,4,216676,204230,420906
2010,5,217009,205209,422218
2010,6,207010,196298,403308
2010,7,198442,186465,384907
2010,8,190440,179582,370022
2010,9,195910,185094,381004
2010,10,197860,187794,385654
2010,11,209214,200479,409693
2010,12,218977,208490,427467
2010,13,236588,225284,461872
2010,14,245807,234018,479825
2010,15,255861,243168,499029
2010,16,270710,258045,528755
2010,17,291807,277975,569782
2010,18,313419,297996,611415
2010,19,329649,313673,643322
2010,20,345022,329277,674299
2010,21,367163,351038,718201
2010,22,379818,363145,742963
2010,23,402037,386098,788135
2010,24,389456,375761,765217
2010,25,398324,384282,782606
2010,26,405079,390373,795452
2010,27,370536,355010,725546
2010,28,355053,347710,702763
2010,29,361814,355547,717361
2010,30,341131,336756,677887
2010,31,336872,336573,673445
2010,32,324375,327550,651925
2010,33,340843,344686,685529
2010,34,331881,340039,671920
2010,35,322411,332233,654644
2010,36,313290,324095,637385
2010,37,321350,335965,657315
2010,38,318746,332217,650963
2010,39,315135,329898,645033
2010,40,288582,306336,594918
2010,41,292320,312085,604405
2010,42,286721,309991,596712
2010,43,294074,321304,615378
2010,44,289401,320454,609855
2010,45,300964,336463,637427
2010,46,319019,361302,680321
2010,47,325506,372183,697689
2010,48,336143,385909,722052
2010,49,346272,401020,747292
2010,50,327278,386313,713591
2010,51,322286,384399,706685
2010,52,306220,371174,677394
2010,53,301349,371348,672697
2010,54,278978,349145,628123
2010,55,283576,360845,644421
2010,56,256419,331385,587804
2010,57,265684,347184,612868
2010,58,262783,345012,607795
2010,59,256666,342610,599276
2010,60,261177,357751,618928
2010,61,214581,298035,512616
2010,62,186702,266854,453556
2010,63,174830,259514,434344
2010,64,111001,172130,283131
2010,65,126064,200403,326467
2010,66,110976,180019,290995
2010,67,140355,233091,373446
2010,68,182156,304231,486387
2010,69,182465,311326,493791
2010,70,188631,337232,525863
2010,71,191133,348467,539600
2010,72,193344,351191,544535
2010,73,151783,277696,429479
2010,74,121778,224844,346622
2010,75,87196,164368,251564
2010,76,69439,138549,207988
2010,77,81976,175975,257951
2010,78,81965,173906,255871
2010,79,91499,206655,298154
2011,0,254668,239343,494011
2011,1,262195,245647,507842
2011,2,260595,244842,505437
2011,3,240019,227100,467119
2011,4,233199,221955,455154
2011,5,216641,204213,420854
2011,6,216979,205208,422187
2011,7,206982,196296,403278
2011,8,198415,186452,384867
2011,9,190383,179567,369950
2011,10,195892,185085,380977
2011,11,197828,187763,385591
2011,12,209164,200467,409631
2011,13,218915,208432,427347
2011,14,236498,225247,461745
2011,15,245711,233968,479679
2011,16,255780,243148,498928
2011,17,270626,258058,528684
2011,18,291664,277955,569619
2011,19,313210,297972,611182
2011,20,329341,313643,642984
2011,21,344621,329250,673871
2011,22,366732,350988,717720
2011,23,379253,363074,742327
2011,24,401441,386012,787453
2011,25,388785,375664,764449
2011,26,397609,384146,781755
2011,27,404234,390130,794364
2011,28,369661,354709,724370
2011,29,354050,347384,701434
2011,30,360678,355143,715821
2011,31,339924,336321,676245
2011,32,335484,336065,671549
2011,33,322960,327014,649974
2011,34,339356,344168,683524
2011,35,330174,339520,669694
2011,36,320781,331626,652407
2011,37,311594,323518,635112
2011,38,319614,335292,654906
2011,39,316976,331526,648502
2011,40,313151,329210,642361
2011,41,286624,305616,592240
2011,42,290187,311271,601458
2011,43,284495,309115,593610
2011,44,291731,320455,612186
2011,45,286909,319585,606494
2011,46,298227,335492,633719
2011,47,315767,360104,675871
2011,48,322001,370919,692920
2011,49,332365,384486,716851
2011,50,341983,399414,741397
2011,51,322834,384708,707542
2011,52,317603,382639,700242
2011,53,301444,369229,670673
2011,54,296376,369351,665727
2011,55,273876,347101,620977
2011,56,278064,358427,636491
2011,57,250908,329004,579912
2011,58,259681,344428,604109
2011,59,256392,342033,598425
2011,60,249808,339321,589129
2011,61,253212,353956,607168
2011,62,207853,294567,502420
2011,63,180419,263423,443842
2011,64,168706,255945,424651
2011,65,106803,169553,276356
2011,66,120719,196809,317528
2011,67,106079,176524,282603
2011,68,133802,228164,361966
2011,69,173145,297587,470732
2011,70,172819,303477,476296
2011,71,177589,327569,505158
2011,72,179247,337296,516543
2011,73,180352,338607,518959
2011,74,140884,266577,407461
2011,75,112191,214425,326616
2011,76,79816,156042,235858
2011,77,63313,130785,194098
2011,78,74144,164903,239047
2011,79,73477,162156,235633
2012,0,257319,241656,498975
2012,1,254290,239066,493356
2012,2,262074,245582,507656
2012,3,260546,244779,505325
2012,4,239939,227066,467005
2012,5,233149,221946,455095
2012,6,216621,204201,420822
2012,7,216936,205168,422104
2012,8,206936,196289,403225
2012,9,198393,186452,384845
2012,10,190334,179530,369864
2012,11,195858,185080,380938
2012,12,197795,187741,385536
2012,13,209116,200455,409571
2012,14,218826,208388,427214
2012,15,236412,225189,461601
2012,16,245609,234009,479618
2012,17,255703,243185,498888
2012,18,270496,258075,528571
2012,19,291498,277969,569467
2012,20,312967,297944,610911
2012,21,329008,313646,642654
2012,22,344178,329231,673409
2012,23,366202,350939,717141
2012,24,378657,363051,741708
2012,25,400760,385941,786701
2012,26,388094,375600,763694
2012,27,396835,383957,780792
2012,28,403379,389940,793319
2012,29,368762,354493,723255
2012,30,353100,347076,700176
2012,31,359661,354788,714449
2012,32,338721,335876,674597
2012,33,334152,335636,669788
2012,34,321616,326577,648193
2012,35,337814,343611,681425
2012,36,328526,338982,667508
2012,37,319069,331018,650087
2012,38,309961,322898,632859
2012,39,317870,334662,652532
2012,40,315131,330855,645986
2012,41,311217,328456,639673
2012,42,284671,304963,589634
2012,43,288184,310541,598725
2012,44,282238,308307,590545
2012,45,289325,319650,608975
2012,46,284526,318665,603191
2012,47,295373,334480,629853
2012,48,312563,358933,671496
2012,49,318620,369642,688262
2012,50,328499,383002,711501
2012,51,337729,397779,735508
2012,52,318278,382989,701267
2012,53,312857,380826,693683
2012,54,296711,367328,664039
2012,55,291393,367402,658795
2012,56,268657,345056,613713
2012,57,272406,355974,628380
2012,58,245472,326464,571936
2012,59,253626,341683,595309
2012,60,249987,338987,588974
2012,61,242894,336014,578908
2012,62,245521,349845,595366
2012,63,201110,290886,491996
2012,64,174256,259997,434253
2012,65,162669,252157,414826
2012,66,102762,166960,269722
2012,67,115528,193284,308812
2012,68,101286,173014,274300
2012,69,127251,223259,350510
2012,70,164535,290769,455304
2012,71,163483,295455,458938
2012,72,166737,317885,484622
2012,73,167711,326236,493947
2012,74,167861,325966,493827
2012,75,130738,255213,385951
2012,76,103312,204152,307464
2012,77,72882,147673,220555
2012,78,57494,123047,180541
2012,79,66933,153951,220884
2013,0,266820,250481,517301
2013,1,256967,241404,498371
2013,2,254237,239007,493244
2013,3,262034,245566,507600
2013,4,260473,244798,505271
2013,5,239901,227055,466956
2013,6,233152,221913,455065
2013,7,216603,204225,420828
2013,8,216915,205192,422107
2013,9,206934,196268,403202
2013,10,198396,186444,384840
2013,11,190341,179524,369865
2013,12,195851,185083,380934
2013,13,197747,187721,385468
2013,14,209108,200438,409546
2013,15,218770,208355,427125
2013,16,236427,225219,461646
2013,17,246690,234332,481022
2013,18,258319,244076,502395
2013,19,273728,259220,532948
2013,20,294729,279194,573923
2013,21,315818,299083,614901
2013,22,331707,314764,646471
2013,23,346660,330232,676892
2013,24,368187,351783,719970
2013,25,379888,363524,743412
2013,26,401430,386262,787692
2013,27,388434,375765,764199
2013,28,396799,383941,780740
2013,29,403121,389828,792949
2013,30,368335,354370,722705
2013,31,352408,346882,699290
2013,32,358804,354497,713301
2013,33,337551,335543,673094
2013,34,332918,335290,668208
2013,35,320239,326133,646372
2013,36,336490,343172,679662
2013,37,326979,338471,665450
2013,38,317427,330461,647888
2013,39,308373,322356,630729
2013,40,316163,334019,650182
2013,41,313265,330200,643465
2013,42,309358,327734,637092
2013,43,282691,304269,586960
2013,44,286112,309733,595845
2013,45,279935,307459,587394
2013,46,286933,318761,605694
2013,47,282031,317800,599831
2013,48,292455,333441,625896
2013,49,309205,357747,666952
2013,50,314830,368347,683177
2013,51,324488,381487,705975
2013,52,333299,396061,729360
2013,53,313693,381217,694910
2013,54,308008,378939,686947
2013,55,291432,365271,656703
2013,56,286074,365189,651263
2013,57,263232,342681,605913
2013,58,266584,353371,619955
2013,59,239708,323827,563535
2013,60,246942,338670,585612
2013,61,242998,335628,578626
2013,62,235748,332377,568125
2013,63,237454,345616,583070
2013,64,194243,287067,481310
2013,65,167930,256176,424106
2013,66,156344,248269,404613
2013,67,98619,164270,262889
2013,68,110139,189500,299639
2013,69,96350,169271,265621
2013,70,120662,217977,338639
2013,71,155644,283565,439209
2013,72,154157,287070,441227
2013,73,156121,307428,463549
2013,74,156133,314494,470627
2013,75,155497,312567,468064
2013,76,120691,243573,364264
2013,77,94595,193575,288170
2013,78,66382,139130,205512
2013,79,52039,114835,166874
2014,0,257889,242595,500484
2014,1,266548,250262,516810
2014,2,256882,241358,498240
2014,3,254179,239007,493186
2014,4,262046,245549,507595
2014,5,260462,244798,505260
2014,6,239891,227076,466967
2014,7,233152,221908,455060
2014,8,216593,204219,420812
2014,9,216904,205203,422107
2014,10,206907,196256,403163
2014,11,198396,186433,384829
2014,12,190331,179533,369864
2014,13,195817,185068,380885
2014,14,197721,187706,385427
2014,15,209022,200377,409399
2014,16,218749,208363,427112
2014,17,237163,225503,462666
2014,18,248512,234992,483504
2014,19,260300,244829,505129
2014,20,275158,259828,534986
2014,21,295535,279555,575090
2014,22,316052,299294,615346
2014,23,331823,314809,646632
2014,24,346383,330201,676584
2014,25,367417,351690,719107
2014,26,379178,363496,742674
2014,27,400805,386173,786978
2014,28,387768,375639,763407
2014,29,396090,383828,779918
2014,30,402193,389522,791715
2014,31,367334,354149,721483
2014,32,351448,346607,698055
2014,33,357498,354131,711629
2014,34,336227,335077,671304
2014,35,331379,334836,666215
2014,36,318698,325671,644369
2014,37,334800,342586,677386
2014,38,325320,337837,663157
2014,39,315641,329838,645479
2014,40,306580,321720,628300
2014,41,314187,333319,647506
2014,42,311296,329483,640779
2014,43,307257,326882,634139
2014,44,280695,303490,584185
2014,45,283837,308843,592680
2014,46,277439,306551,583990
2014,47,284282,317791,602073
2014,48,279313,316724,596037
2014,49,289351,332293,621644
2014,50,305482,356388,661870
2014,51,310828,366938,677766
2014,52,320129,379838,699967
2014,53,328553,394277,722830
2014,54,308694,379285,687979
2014,55,302632,376887,679519
2014,56,285917,363106,649023
2014,57,280605,362732,643337
2014,58,257708,340178,597886
2014,59,260524,350555,611079
2014,60,233650,320914,554564
2014,61,239926,335402,575328
2014,62,235560,331975,567535
2014,63,228245,328518,556763
2014,64,229076,341195,570271
2014,65,187222,282891,470113
2014,66,161457,252173,413630
2014,67,149948,244150,394098
2014,68,94415,161332,255747
2014,69,104710,185444,290154
2014,70,91375,165214,256589
2014,71,113936,212300,326236
2014,72,146984,275697,422681
2014,73,145047,278018,423065
2014,74,145579,296706,442285
2014,75,144735,301924,446659
2014,76,143457,298210,441667
2014,77,110720,231267,341987
2014,78,86018,182262,268280
2014,79,60132,130269,190401
2015,0,238366,224682,463048
2015,1,242999,228668,471667
2015,2,251352,236137,487489
2015,3,242605,228069,470674
2015,4,239837,225929,465766
2015,5,247710,232129,479839
2015,6,246323,231388,477711
2015,7,226701,214581,441282
2015,8,221015,210073,431088
2015,9,205474,193518,398992
2015,10,205524,194633,400157
2015,11,196157,186007,382164
2015,12,188441,177059,365500
2015,13,180987,170667,351654
2015,14,186143,175997,362140
2015,15,188196,178592,366788
2015,16,199463,191164,390627
2015,17,209068,199050,408118
2015,18,227882,215982,443864
2015,19,238964,225235,464199
2015,20,249362,234105,483467
2015,21,262876,248278,511154
2015,22,281665,266478,548143
2015,23,300231,284466,584697
2015,24,314504,298698,613202
2015,25,327580,312777,640357
2015,26,346992,332720,679712
2015,27,357886,343352,701238
2015,28,378677,365578,744255
2015,29,366153,355449,721602
2015,30,374537,363599,738136
2015,31,378603,368818,747421
2015,32,344736,335172,679908
2015,33,330345,328029,658374
2015,34,337366,335358,672724
2015,35,317412,317232,634644
2015,36,312900,317055,629955
2015,37,300708,308054,608762
2015,38,316340,324670,641010
2015,39,307408,320373,627781
2015,40,298099,312670,610769
2015,41,289983,305121,595104
2015,42,297047,315906,612953
2015,43,294493,312569,607062
2015,44,290932,310086,601018
2015,45,264845,287265,552110
2015,46,267703,292313,560016
2015,47,261554,290109,551663
2015,48,267525,299869,567394
2015,49,261977,298712,560689
2015,50,271209,313464,584673
2015,51,286262,336222,622484
2015,52,290106,345283,635389
2015,53,299243,357839,657082
2015,54,307062,371535,678597
2015,55,287949,356664,644613
2015,56,281892,354673,636565
2015,57,265436,340788,606224
2015,58,259745,339892,599637
2015,59,237953,317927,555880
2015,60,240081,327319,567400
2015,61,214295,299309,513604
2015,62,219481,312970,532451
2015,63,215888,309863,525751
2015,64,209135,306309,515444
2015,65,209290,317617,526907
2015,66,170980,263530,434510
2015,67,146247,233511,379758
2015,68,135885,226442,362327
2015,69,85535,149626,235161
2015,70,94676,172654,267330
2015,71,82262,153710,235972
2015,72,101567,195742,297309
2015,73,130891,253546,384437
2015,74,128685,254217,382902
2015,75,127910,269803,397713
2015,76,126603,273656,400259
2015,77,124495,268390,392885
2015,78,96104,207491,303595
2015,79,73793,162301,236094
2016,0,211339,197833,409172
2016,1,238053,224436,462489
2016,2,242884,228566,471450
2016,3,251286,236070,487356
2016,4,242525,228012,470537
2016,5,239790,225895,465685
2016,6,247658,232081,479739
2016,7,246292,231359,477651
2016,8,226677,214535,441212
2016,9,220970,210041,431011
2016,10,205415,193481,398896
2016,11,205494,194605,400099
2016,12,196088,185961,382049
2016,13,188378,177020,365398
2016,14,180933,170616,351549
2016,15,186068,175950,362018
2016,16,188132,178596,366728
2016,17,199667,191300,390967
2016,18,209887,199416,409303
2016,19,228717,216345,445062
2016,20,239365,225479,464844
2016,21,249004,234132,483136
2016,22,262351,248210,510561
2016,23,281119,266380,547499
2016,24,299627,284254,583881
2016,25,313751,298618,612369
2016,26,326933,312701,639634
2016,27,346300,332604,678904
2016,28,357229,343228,700457
2016,29,377924,365398,743322
2016,30,365389,355317,720706
2016,31,373599,363325,736924
2016,32,377596,368473,746069
2016,33,343652,334841,678493
2016,34,329211,327713,656924
2016,35,336112,334930,671042
2016,36,316073,316770,632843
2016,37,311492,316567,628059
2016,38,299213,307561,606774
2016,39,314648,324098,638746
2016,40,305622,319800,625422
2016,41,296250,312008,608258
2016,42,288153,304467,592620
2016,43,295105,315155,610260
2016,44,292515,311807,604322
2016,45,288882,309322,598204
2016,46,262769,286474,549243
2016,47,265315,291439,556754
2016,48,259160,289260,548420
2016,49,264886,298893,563779
2016,50,259215,297676,556891
2016,51,268174,312280,580454
2016,52,282787,334969,617756
2016,53,286276,343840,630116
2016,54,295213,356263,651476
2016,55,302282,369718,672000
2016,56,283130,354777,637907
2016,57,276830,352682,629512
2016,58,260318,338471,598789
2016,59,254431,337497,591928
2016,60,232462,315462,547924
2016,61,233782,324457,558239
2016,62,208379,296363,504742
2016,63,212821,309520,522341
2016,64,208929,306173,515102
2016,65,202140,302258,504398
2016,66,201406,312895,514301
2016,67,164310,259283,423593
2016,68,140031,229249,369280
2016,69,129849,222131,351980
2016,70,81538,146446,227984
2016,71,89398,168292,257690
2016,72,77468,149507,226975
2016,73,95195,189839,285034
2016,74,122876,245425,368301
2016,75,119964,245102,365066
2016,76,118369,258565,376934
2016,77,116399,261038,377437
2016,78,113614,254250,367864
2016,79,87444,195204,282648
2017,0,203793,190833,394626
2017,1,211045,197600,408645
2017,2,237929,224336,462265
2017,3,242802,228506,471308
2017,4,251201,236030,487231
2017,5,242467,227967,470434
2017,6,239738,225856,465594
2017,7,247603,232042,479645
2017,8,246238,231335,477573
2017,9,226623,214511,441134
2017,10,220944,210020,430964
2017,11,205363,193450,398813
2017,12,205461,194569,400030
2017,13,196045,185932,381977
2017,14,188298,176999,365297
2017,15,180859,170565,351424
2017,16,185990,175922,361912
2017,17,188144,178590,366734
2017,18,199959,191425,391384
2017,19,210527,199650,410177
2017,20,229118,216485,445603
2017,21,239503,225537,465040
2017,22,249094,234150,483244
2017,23,262233,248188,510421
2017,24,280918,266346,547264
2017,25,299374,284191,583565
2017,26,313398,298552,611950
2017,27,326497,312544,639041
2017,28,345782,332446,678228
2017,29,356606,343069,699675
2017,30,377087,365195,742282
2017,31,364603,355062,719665
2017,32,372641,363038,735679
2017,33,376464,368133,744597
2017,34,342549,334493,677042
2017,35,327960,327331,655291
2017,36,334798,334485,669283
2017,37,314568,316292,630860
2017,38,309988,315973,625961
2017,39,297602,307015,604617
2017,40,312866,323495,636361
2017,41,303838,319180,623018
2017,42,294323,311309,605632
2017,43,286146,303723,589869
2017,44,293019,314366,607385
2017,45,290310,310935,601245
2017,46,286619,308488,595107
2017,47,260553,285635,546188
2017,48,262840,290464,553304
2017,49,256572,288226,544798
2017,50,262022,297829,559851
2017,51,256251,296576,552827
2017,52,264837,311045,575882
2017,53,279060,333552,612612
2017,54,282185,342221,624406
2017,55,290839,354529,645368
2017,56,297343,367794,665137
2017,57,278088,352696,630784
2017,58,271496,350322,621818
2017,59,254987,335932,590919
2017,60,248445,334890,583335
2017,61,226389,312671,539060
2017,62,227425,321405,548830
2017,63,202048,293211,495259
2017,64,205987,305914,511901
2017,65,201870,302297,504167
2017,66,195133,297971,493104
2017,67,193619,307848,501467
2017,68,157589,254805,412394
2017,69,133813,224800,358613
2017,70,123737,217524,341261
2017,71,77479,143022,220501
2017,72,84158,163586,247744
2017,73,72744,144936,217680
2017,74,88760,183513,272273
2017,75,114938,236587,351525
2017,76,111518,235294,346812
2017,77,108821,246807,355628
2017,78,106602,247748,354350
2017,79,103244,239585,342829
2018,0,186249,175540,361789
2018,1,203612,190704,394316
2018,2,210970,197562,408532
2018,3,237860,224277,462137
2018,4,242735,228464,471199
2018,5,251130,235993,487123
2018,6,242412,227890,470302
2018,7,239702,225812,465514
2018,8,247559,231999,479558
2018,9,246176,231298,477474
2018,10,226564,214495,441059
2018,11,220909,209978,430887
2018,12,205307,193413,398720
2018,13,205406,194548,399954
2018,14,196012,185914,381926
2018,15,188228,176981,365209
2018,16,180824,170569,351393
2018,17,186186,176019,362205
2018,18,189258,179078,368336
2018,19,201471,192029,393500
2018,20,211406,200108,411514
2018,21,229126,216597,445723
2018,22,238811,225470,464281
2018,23,248375,233980,482355
2018,24,261652,247985,509637
2018,25,280177,266164,546341
2018,26,298720,284077,582797
2018,27,312702,298394,611096
2018,28,325929,312426,638355
2018,29,345074,332287,677361
2018,30,355862,342871,698733
2018,31,376261,364935,741196
2018,32,363707,354801,718508
2018,33,371652,362715,734367
2018,34,375315,367803,743118
2018,35,341427,334104,675531
2018,36,326819,326940,653759
2018,37,333438,333962,667400
2018,38,313194,315779,628973
2018,39,308440,315414,623854
2018,40,295959,306413,602372
2018,41,311141,322915,634056
2018,42,302079,318522,620601
2018,43,292295,310582,602877
2018,44,284147,302993,587140
2018,45,291008,313573,604581
2018,46,288046,310065,598111
2018,47,284217,307611,591828
2018,48,258279,284748,543027
2018,49,260336,289547,549883
2018,50,253738,287181,540919
2018,51,259091,296697,555788
2018,52,253238,295429,548667
2018,53,261415,309729,571144
2018,54,275157,332060,607217
2018,55,277815,340567,618382
2018,56,286253,352807,639060
2018,57,292336,365746,658082
2018,58,272802,350588,623390
2018,59,265998,347866,613864
2018,60,249164,333426,582590
2018,61,242464,332184,574648
2018,62,220318,309794,530112
2018,63,220974,318175,539149
2018,64,195975,290001,485976
2018,65,199191,302232,501423
2018,66,194822,298194,493016
2018,67,187846,293508,481354
2018,68,185654,302423,488077
2018,69,150706,249945,400651
2018,70,127622,220123,347745
2018,71,117577,212546,330123
2018,72,73484,139598,213082
2018,73,78939,158533,237472
2018,74,68046,140106,208152
2018,75,82581,176816,259397
2018,76,107218,227786,335004
2018,77,103162,225131,328293
2018,78,99682,234596,334278
2018,79,97145,234156,331301
